starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 07 16:43:37 2021	1633596217	0	16	16	14
Thu Oct 07 16:43:40 2021	1633596220	0	30	30	28
Thu Oct 07 16:43:38 2021	1633596218	1	38	40	38
Thu Oct 07 16:43:38 2021	1633596218	1	53	53	52
Thu Oct 07 16:43:38 2021	1633596218	1	53	54	53
Thu Oct 07 16:43:38 2021	1633596218	1	57	58	57
Thu Oct 07 16:43:38 2021	1633596218	1	69	69	68
Thu Oct 07 16:43:38 2021	1633596218	0	69	70	69
Thu Oct 07 16:43:38 2021	1633596218	1	70	71	68
Thu Oct 07 16:43:38 2021	1633596218	1	70	71	70
Thu Oct 07 16:43:38 2021	1633596218	1	71	71	70
Thu Oct 07 16:43:38 2021	1633596218	0	71	71	71
Thu Oct 07 16:43:38 2021	1633596218	1	71	72	71
Thu Oct 07 16:43:38 2021	1633596218	1	73	73	72
Thu Oct 07 16:43:38 2021	1633596218	1	76	77	75
Thu Oct 07 16:43:38 2021	1633596218	0	77	77	77
Thu Oct 07 16:43:38 2021	1633596218	0	79	80	78
Thu Oct 07 16:43:38 2021	1633596218	1	80	81	79
Thu Oct 07 16:43:38 2021	1633596218	0	82	82	82
Thu Oct 07 16:43:38 2021	1633596218	1	82	83	82
Thu Oct 07 16:43:38 2021	1633596218	1	83	83	82
Thu Oct 07 16:43:38 2021	1633596218	0	85	85	84
Thu Oct 07 16:43:38 2021	1633596218	1	85	86	85
Thu Oct 07 16:43:40 2021	1633596220	0	88	88	85
Thu Oct 07 16:43:40 2021	1633596220	0	88	88	88
Thu Oct 07 16:43:38 2021	1633596218	0	91	91	91
Thu Oct 07 16:43:40 2021	1633596220	0	93	93	93
Thu Oct 07 16:43:38 2021	1633596218	0	94	94	93
Thu Oct 07 16:43:38 2021	1633596218	1	94	95	93
Thu Oct 07 16:43:38 2021	1633596218	0	95	95	94
Thu Oct 07 16:43:39 2021	1633596219	0	97	97	97
Thu Oct 07 16:43:38 2021	1633596218	1	97	97	97
Thu Oct 07 16:43:38 2021	1633596218	0	98	98	97
Thu Oct 07 16:43:38 2021	1633596218	0	98	98	96
Thu Oct 07 16:43:39 2021	1633596219	0	98	98	98
Thu Oct 07 16:43:38 2021	1633596218	0	99	99	98
Thu Oct 07 16:43:39 2021	1633596219	0	99	99	99
