starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 07 16:50:00 2021	1633596600	0	15	15	13
Thu Oct 07 16:50:01 2021	1633596601	0	73	73	72
Thu Oct 07 16:50:01 2021	1633596601	0	76	76	76
Thu Oct 07 16:50:02 2021	1633596602	0	77	77	77
Thu Oct 07 16:50:01 2021	1633596601	0	83	84	83
Thu Oct 07 16:50:01 2021	1633596601	0	84	84	83
Thu Oct 07 16:50:01 2021	1633596601	0	86	86	86
Thu Oct 07 16:50:00 2021	1633596600	1	86	87	86
Thu Oct 07 16:50:02 2021	1633596602	0	87	87	87
Thu Oct 07 16:50:00 2021	1633596600	1	86	87	85
Thu Oct 07 16:50:01 2021	1633596601	0	87	87	87
Thu Oct 07 16:50:03 2021	1633596603	0	87	88	87
Thu Oct 07 16:50:00 2021	1633596600	0	90	90	89
Thu Oct 07 16:50:01 2021	1633596601	0	90	90	89
Thu Oct 07 16:50:01 2021	1633596601	0	90	90	90
Thu Oct 07 16:50:01 2021	1633596601	0	91	91	90
Thu Oct 07 16:50:03 2021	1633596603	0	93	93	92
Thu Oct 07 16:50:03 2021	1633596603	0	94	94	92
Thu Oct 07 16:50:03 2021	1633596603	0	94	94	94
Thu Oct 07 16:50:03 2021	1633596603	0	95	95	94
Thu Oct 07 16:50:01 2021	1633596601	0	96	96	95
Thu Oct 07 16:50:03 2021	1633596603	0	96	96	96
Thu Oct 07 16:50:01 2021	1633596601	0	96	96	96
Thu Oct 07 16:50:02 2021	1633596602	0	97	97	96
Thu Oct 07 16:50:02 2021	1633596602	0	97	97	96
Thu Oct 07 16:50:01 2021	1633596601	0	97	97	97
Thu Oct 07 16:50:01 2021	1633596601	0	97	97	97
Thu Oct 07 16:50:02 2021	1633596602	0	97	97	97
Thu Oct 07 16:50:03 2021	1633596603	0	97	98	97
Thu Oct 07 16:50:01 2021	1633596601	0	97	98	97
Thu Oct 07 16:50:01 2021	1633596601	0	98	98	97
Thu Oct 07 16:50:03 2021	1633596603	0	98	98	98
Thu Oct 07 16:50:02 2021	1633596602	0	98	98	98
Thu Oct 07 16:50:00 2021	1633596600	1	98	98	97
Thu Oct 07 16:50:01 2021	1633596601	0	99	99	98
Thu Oct 07 16:50:03 2021	1633596603	0	99	99	98
Thu Oct 07 16:50:03 2021	1633596603	0	99	99	99
Thu Oct 07 16:50:03 2021	1633596603	0	100	100	99
Thu Oct 07 16:50:03 2021	1633596603	0	100	100	99
Thu Oct 07 16:50:03 2021	1633596603	0	100	100	100
Thu Oct 07 16:50:01 2021	1633596601	0	100	100	100
Thu Oct 07 16:50:01 2021	1633596601	0	100	100	100
Thu Oct 07 16:50:03 2021	1633596603	0	101	101	100
Thu Oct 07 16:50:02 2021	1633596602	0	101	101	100
Thu Oct 07 16:50:00 2021	1633596600	1	99	101	99
Thu Oct 07 16:50:02 2021	1633596602	0	101	101	101
Thu Oct 07 16:50:01 2021	1633596601	0	101	101	101
